1068;Ren & Stimpy Show Presents, The - Stimpy's Invention (USA)
1552;Richard Scarry's Busytown (USA)
T-89036;Risk (USA)
734701;Road Rash 3 (USA) (Alpha)
T-70166;RoboCop versus The Terminator (USA)
T-95046;Rocket Knight Adventures (USA)
T-81106;Roger Clemens' MVP Baseball (USA)
T-14066;Rolling Thunder 2 (USA)
T-81526;Scooby-Doo Mystery (USA)
T-50896;Sesame Street Counting Cafe (USA)
47016;Shadow Blasters (USA)
1352;Shadowrun (USA)
T-130016;Shanghai II - Dragon's Eye (USA)
1312;Shining Force (USA)
1315;Shining Force II (USA)
1136;Shinobi III - Return of the Ninja Master (USA)
T-25036;Shove It! The Warehouse Game (USA)
T-13046;Side Pocket (USA)
T-56046;Slaughter Sport (USA)
T-23046;Socket (USA)
T-49206;Sol-Deace (USA)
T-124016;Soldiers of Fortune (USA)
1563;Sonic & Knuckles (World)
1563;Sonic & Knuckles + Sonic The Hedgehog (World)
1563;Sonic & Knuckles + Sonic The Hedgehog 2 (World)
1563;Sonic & Knuckles + Sonic The Hedgehog 3 (World)
670-1470;Sonic The Hedgehog (World)
1051;Sonic The Hedgehog 2 (World)
1079;Sonic The Hedgehog 3 (USA)
1537;Sonic The Hedgehog Spinball (USA)
T-28076;Sorcerer's Kingdom (USA)
T-95166;Sparkster (USA)
T-81256;Spider-Man . Venom - Maximum Carnage (World)
T-14076;Splatterhouse 2 (USA)
1211;Sports Talk Baseball (USA)
T-81616;Spot Goes to Hollywood (USA)
1313;Star Trek - The Next Generation - Echoes from the Past (USA)
T-81046;Steel Empire (USA)
T-12016;Street Fighter II' - Special Champion Edition (USA)
1054;Streets of Rage 2 (USA)
1539;Streets of Rage 3 (USA)
1551;Sub-Terrania (USA)
T-87066;Super Battleship (USA)
T-81146;Super High Impact (USA)
T-35016;Super Hydlide (USA)
SSU-S001;Super Street Fighter II (USA)
T-15036;Superman (USA)
T-48346;Sylvester and Tweety in Cagey Capers (USA)
T-137056;TNN Bass Tournament of Champions (USA)
T-137066;TNN Outdoors Bass Tournament '96 (USA)
1546;Taz in Escape from Mars (USA)
1032;Taz-Mania (World)
T-56016;Technocop (USA)
T-36046;Tecmo Super Baseball (USA)
T-36066;Tecmo Super Bowl III - Final Edition (USA)
T-36036;Tecmo Super Hockey (USA)
T-36026;Tecmo Super NBA Basketball (USA)
T-95016;Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA)
T-95066;Teenage Mutant Ninja Turtles - Tournament Fighters (USA)
T-100046;Time Killers (USA)
T-119236;TinHead (USA)
T-95036;Tiny Toon Adventures - Buster's Hidden Treasure (USA)
1043;ToeJam & Earl in Panic on Funkotron (USA)
1050;Tom Mason's Dinosaurs for Hire (USA)
T-112016;Tom and Jerry - Frantic Antics (USA)
T-23066;Top Gear 2 (USA)
1037;Toxic Crusaders (USA)
T-239046;Toy Story (USA)
T-34026;Trampoline Terror! (USA)
49166;Traysia (USA)
7735;Triple Play - Gold Edition (USA)
7386;Triple Play 96 (USA)
T-97096;Troy Aikman NFL Football (USA)
1128;Twin Cobra - Desert Attack Helicopter (USA)
T-70056;Tyrants - Fight through Time (USA)
T-97146;Ultimate Mortal Kombat 3 (USA)
3414;Unnecessary Roughness '95 (USA)
49196;Valis (USA)
T-49086;Valis III (USA)
T-49106;Vapor Trail (USA)
1843;Vectorman 2 (USA)
T-24096;Viewpoint (USA)
1713;Wacky Worlds Creativity Studio (USA)
T-24046;Warsong (USA)
T-100026;Wayne's World (USA)
T-14136;WeaponLord (USA)
T-83016;Wheel of Fortune (USA)
T-79096;Winter Olympic Games (USA) (En,Fr,De,Es,It,Pt,Sv,No)
T-113026;Wiz'n'Liz (USA)
92041;Wolfchild (USA)
1547;World Heroes (USA)
1239;World Series Baseball '95 (USA)
1242;World Series Baseball '96 (USA)
1222;World Series Baseball (USA)
1244;World Series Baseball 98 (USA)
670-2482;X-Men (USA)
1574;X-Perts (USA)
49146;Ys III (USA)
