NES-FS-USA;Fun House
NES-6I-USA;G.I. Joe - The Atlantis Factor
NES-X4-USA;G.I. Joe
NES-AG-USA;Galaga - Demons of Death
NES-00-USA;Galaxy 5000
NES-G2-USA;Gargoyle's Quest II - The Demon Darkness
NES-GL-USA;Gauntlet
NES-2U-USA;Gauntlet II
NES-GE-USA;Gemfire
NES-GX-USA;Genghis Khan
NES-KB-USA;George Foreman's KO Boxing
NES-GB-USA;Ghostbusters
NES-VV-USA;Ghostbusters II
NES-GG-USA;Ghosts 'N Goblins
NES-Y3-USA;Ghoul School
NES-JG-USA;Goal!
NES-GF-USA;Golf
NES-GT-USA;Goal! Two
NES-GZ-USA;Godzilla - Monster of Monsters!
NES-7Z-USA;Godzilla 2 - War of the Monsters
NES-GM-USA;Gold Medal Challenge '92
NES-7G-USA;Golf Grand Slam
NES-G3-USA;Golgo 13 - Top Secret Episode
NES-GU-USA;Goonies II, The
NES-GC-USA;Gotcha! - The Sport!
NES-GR-USA;Gradius
NES-GH-USA;Great Waldo Search, The
NES-GP-USA;Greg Norman's Golf Power
NES-2Z-USA;Gremlins 2 - The New Batch
NES-GD-USA;Guardian Legend, The
NES-GW-USA;Guerrilla War
NES-GS-USA;Gumshoe
NES-GK-USA;Gun.Smoke
NES-XG-USA;Gun-Nac
NES-YS-USA;Gyruss
NES-QH-USA;Harlem Globetrotters
NES-JZ-USA;Hatris
NES-HV-USA;Heavy Barrel
NES-WX-USA;Heavy Shreddin'
NES-8H-USA;High Speed
NES-HL-USA;Hollywood Squares
NES-6N-USA;Home Alone
NES-HM-USA;Home Alone 2 - Lost in New York
NES-7Q-USA;Hook
NES-2B-USA;Hoops
NES-Y4-USA;Hudson Hawk
NES-TB-USA;Hudson's Adventure Island
NES-V7-USA;Hudson's Adventure Island II
NES-AT-USA;Hudson's Adventure Island III
NES-7H-USA;Hunt for Red October, The
NES-HS-USA;Hydlide
NES-F5-USA;I Can Remember
NES-IC-USA;Ice Climber
NES-HY-USA;Ice Hockey
NES-3D-USA;Ikari III - The Rescue
NES-IW-USA;Ikari Warriors
NES-F9-USA;Image Fight
NES-VR-USA;Ikari Warriors II - Victory Road
NES-E8-USA;Immortal, The
NES-CQ-USA;Incredible Crash Dummies, The
NES-J5-USA;Indiana Jones and the Last Crusade (Taito)
NES-LR-USA;Indiana Jones and the Last Crusade (Ubisoft)
NES-IJ-USA;Indiana Jones and the Temple of Doom
NES-IF-USA;Infiltrator
NES-IT-USA;Iron Tank - The Invasion of Normandy
NES-IR-USA;Ironsword - Wizards & Warriors II
NES-W6-USA;Isolated Warrior
NES-WU-USA;Ivan Ironman Stewart's Super Off-Road
NES-JC-USA;Jack Nicklaus' Greatest 18 Holes of Major Championship Golf
NES-JK-USA;Jackal
NES-V5-USA;Jackie Chan's Action Kung Fu
NES-JB-USA;James Bond Jr
NES-JA-USA;Jaws
NES-JP-USA;Jeopardy!
NES-J3-USA;Jeopardy! 25th Anniversary Edition
NES-J2-USA;Jeopardy! Junior Edition
NES-JN-USA;Jetsons, The - Cogswell's Caper!
NES-UA-USA;Jim Henson's Muppet Adventure - Chaos at the Carnival
NES-JT-USA;Jimmy Connor's Tennis
NES-CJ-USA;Joe & Mac - Caveman Ninja
NES-JQ-USA;John Elway's Quarterback
