SNS-3U-USA;International Superstar Soccer
SNS-AWJE-USA;International Superstar Soccer Deluxe
SNS-IT-USA;International Tennis Tour
SNS-MT-USA;Irem Skins Game, The
SNS-AISE-USA;Itchy & Scratchy Game, The
SNS-AIZE-USA;Izzy's Quest for the Olympic Rings
SNS-JN-USA;Jack Nicklaus Golf
SNS-JJ-USA;James Bond Jr.
SNS-J6-USA;Jammit
SNS-JY-USA;Jeopardy!
SNS-7J-USA;Jeopardy! - Deluxe Edition
SNS-8Y-USA;Jeopardy! - Sports Edition
SNS-8J-USA;Jetsons, The - Invasion of the Planet Pirates
SNS-AWIE-USA;Jim Lee's Wild Covert Action Teams
SNS-6J-USA;Jim Power - The Lost Dimension in 3D
SNS-JC-USA;Jimmy Connors' Pro Tennis Tour
SNS-AFUE-USA;Jimmy Houston's Bass Tournament, USA
SNS-JT-USA;Joe & Mac
SNS-J3-USA;Joe & Mac 2 - Lost in the Tropics
SNS-JM-USA;John Madden Football
SNS-MF-USA;John Madden Football '93
SNS-AJDE-USA;Judge Dredd
SNS-7K-USA;Jungle Book, The
SNS-AJGE-USA;Jungle Strike
SNS-J8-USA;Jurassic Park
SNS-A2JE-USA;Jurassic Park 2 - The Chaos Continues
SNS-AJLE-USA;Justice League Task Force
SNS-BB-USA;Ka-Blooey
SNS-KC-USA;Kawasaki Caribbean Challenge
SNS-AKEE-USA;Kawasaki Superbike Challenge
SNS-JR-USA;Ken Griffey Jr. Presents Major League Baseball
SNS-A9GE-USA;Ken Griffey Jr.'s Winning Run
SNS-M7-USA;Kendo Rage
SNS-ZI-USA;Kid Klown in Crazy Chase
SNS-AKLE-USA;Killer Instinct
SNS-AAKE-USA;King Arthur & The Knights of Justice
SNS-RC-USA;King Arthur's World
SNS-EI-USA;King of Dragons
SNS-KM-USA;King of the Monsters
SNS-KT-USA;King of the Monsters 2
SNS-AKFE-USA;Kirby Super Star
SNS-PQ-USA;Kirby's Avalanche
SNS-CG-USA;Kirby's Dream Course
SNS-AFJE-USA;Kirby's Dream Land 3
SNS-LO-USA;Knights of the Round
SNS-FH-USA;Krusty's Super Fun House
SNS-AKPE-USA;Kyle Petty's No Fear Racing
SNS-LA-USA;Lagoon
SNS-L8-USA;Lamborghini American Challenge
SNS-L5-USA;Last Action Hero
SNS-LW-USA;Lawnmower Man, The
SNS-6L-USA;Legend
SNS-GG-USA;Legend of the Mystical Ninja, The
SNS-ZL-USA;Legend of Zelda, The - A Link to the Past
SNS-LE-USA;Lemmings
SNS-L2-USA;Lemmings 2 - The Tribes
SNS-LY-USA;Lester the Unlikely
SNS-LK-USA;Lethal Enforcers
SNS-L3-USA;Lethal Weapon
SNS-7L-USA;Liberty or Death
SNS-ALKE-USA;Lion King, The
SNS-AZ-USA;Lock On
SNS-ALTE-USA;Looney Tunes B-Ball
SNS-64-USA;Lord of the Rings, The - Volume 1
SNS-ALVE-USA;Lost Vikings 2
SNS-LV-USA;Lost Vikings, The
SNS-ES-USA;Lufia & The Fortress of Doom
SNS-ANIE-USA;Lufia II - Rise of the Sinistrals
SNS-9M-USA;Madden NFL '94
SNS-ANLE-USA;Madden NFL '95
SNS-A6FE-USA;Madden NFL '96
SNS-A7NE-USA;Madden NFL '97
SNS-A8NE-USA;Madden NFL '98
SNS-YG-USA;Magic Boy
SNS-MD-USA;Magic Sword
SNS-MI-USA;Magical Quest Starring Mickey Mouse, The
SNS-MU-USA;Mario is Missing!
SNS-MP-USA;Mario Paint
SNS-AMYE-USA;Mario's Early Years - Fun with Letters
SNS-YR-USA;Mario's Early Years - Fun with Numbers
SNS-AMEE-USA;Mario's Early Years - Preschool Fun
SNS-8M-USA;Mario's Time Machine
SNS-AOAE-USA;Mark Davis' The Fishing Master
SNS-AHZE-USA;Marvel Super Heroes in War of the Gems
SNS-AFRE-USA;Mary Shelley's Frankenstein
SNS-AMGE-USA;Mask, The
SNS-AMME-USA;Math Blaster - Episode One
SNS-AZBE-USA;Maui Mallard in Cold Shadow
SNS-TS-USA;Mecarobot Golf
SNS-WM-USA;MechWarrior
SNS-A35E-USA;MechWarrior 3050
SNS-A7RE-USA;Mega Man 7
SNS-RQ-USA;Mega Man Soccer
SNS-RX-USA;Mega Man X
SNS-ARXE-USA;Mega Man X2
SNS-AR3E-USA;Mega Man X3
SNS-KD-USA;Metal Combat - Falcon's Revenge
SNS-6M-USA;Metal Marines
SNS-AMHE-USA;Metal Morph
SNS-AWME-USA;Metal Warriors
SNS-AMAE-USA;Michael Andretti's Indy Car Challenge
SNS-AWCE-USA;Michael Jordan - Chaos in the Windy City
SNS-AMIE-USA;Mickey Mania - The Timeless Adventures of Mickey Mouse
SNS-6U-USA;Mickey's Ultimate Challenge
SNS-AH3E-USA;Micro Machines
SNS-3H-USA;Might & Magic III - Isles of Terra
SNS-52-USA;Mighty Morphin Power Rangers
SNS-A3RE-USA;Mighty Morphin Power Rangers - The Fighting Edition
SNS-A2RE-USA;Mighty Morphin Power Rangers - The Movie
SNS-MR-USA;Miracle Piano Teaching System, The
SNS-XH-USA;MLBPA Baseball
SNS-AJYE-USA;Mohawk & Headphone Jack
SNS-ML-USA;Monopoly
SNS-KX-USA;Mortal Kombat
SNS-A3ME-USA;Mortal Kombat 3
SNS-28-USA;Mortal Kombat II
SNS-AUNE-USA;Mr. Do!
SNS-N8-USA;Mr. Nutz
SNS-AN8E-USA;Ms. Pac-Man
SNS-MY-USA;Musya - The Classic Japanese Tale of Horror
SNS-AM9E-USA;Mutant Chronicles - Doom Troopers
SNS-7W-USA;Natsume Championship Wrestling
SNS-NB-USA;NBA All-Star Challenge
SNS-ANJE-USA;NBA Give & Go
SNS-AXGE-USA;NBA Hang Time
SNS-8N-USA;NBA Jam
SNS-AJTE-USA;NBA Jam - Tournament Edition
SNS-ANBE-USA;NBA Live '95
SNS-A6BE-USA;NBA Live '96
SNS-A7LE-USA;NBA Live '97
SNS-A8LE-USA;NBA Live '98
SNS-6N-USA;NBA Showdown
SNS-DU-USA;NCAA Basketball
SNS-AFIE-USA;NCAA Final Four Basketball
SNS-AFBE-USA;NCAA Football
SNS-ANME-USA;Newman-Haas IndyCar featuring Nigel Mansell
SNS-NF-USA;NFL Football
SNS-Q9-USA;NFL Quarterback Club '95
SNS-AQBE-USA;NFL Quarterback Club '96
SNS-4H-USA;NHL '94
SNS-ANHE-USA;NHL '95
SNS-A6HE-USA;NHL '96
SNS-AH7E-USA;NHL '97
SNS-A8HE-USA;NHL '98
SNS-NH-USA;NHL Stanley Cup
SNS-HY-USA;NHLPA Hockey '93
SNS-ANGE-USA;Nickelodeon GUTS
SNS-M8-USA;Nigel Mansell's World Championship Racing
SNS-ANRE-USA;Ninja Gaiden Trilogy
SNS-NI-USA;Ninja Warriors
SNS-ANOE-USA;No Escape
SNS-NZ-USA;Nobunga's Ambition
SNS-IZ-USA;Nobunga's Ambition - Lord of Darkness
SNS-NR-USA;Nolan Ryan's Baseball
SNS-NS-USA;Nosferatu
SNS-7B-USA;Obitus
SNS-OB-USA;Ogre Battle - The March of the Black Queen
SNS-AO9E-USA;Olympic Summer Games
SNS-CT-USA;On the Ball
SNS-YP-USA;Operation Europe - Path to Victory 1939-45
SNS-IY-USA;Operation Logic Bomb
SNS-36-USA;Operation Thunderbolt
SNS-AOZE-USA;Oscar
SNS-TW-USA;Out of This World
SNS-P8-USA;Out to Lunch
SNS-LD-USA;Outlander
SNS-P9-USA;Pac-Attack
SNS-APTE-USA;Pac-in-Time
SNS-25-USA;Pac-Man 2 - The New Adventures
SNS-TK-USA;Pacific Theater of Operations
SNS-ATEE-USA;Pacific Theater of Operations II
SNS-APYE-USA;Packy & Marlon
SNS-APME-USA;Pagemaster, The
SNS-LN-USA;Paladin's Quest
SNS-P2-USA;Paperboy 2
SNS-R6-USA;Peace Keepers, The
SNS-AEPE-USA;PGA European Tour
SNS-A3GE-USA;PGA Tour '96
SNS-PG-USA;PGA Tour Golf
SNS-PH-USA;Phalanx - The Enforce Fighter A-144
SNS-A24E-USA;Phantom 2040
SNS-Z5-USA;Pieces
SNS-PW-USA;Pilotwings
SNS-7D-USA;Pinball Dreams
SNS-APFE-USA;Pinball Fantasies
SNS-YW-USA;Pink Goes to Hollywood
SNS-ACGE-USA;Pinocchio
SNS-8P-USA;Pirates of Dark Water, The
SNS-PF-USA;Pit-Fighter
SNS-APAE-USA;Pitfall - The Mayan Adventure
SNS-P4-USA;Plok
SNS-KK-USA;Pocky & Rocky
SNS-29-USA;Pocky & Rocky 2
SNS-PO-USA;Populous
SNS-APPE-USA;Porky Pig's Haunted Holiday
SNS-AGKE-USA;Power Instinct
SNS-P3-USA;Power Moves
SNS-AOTE-USA;Power Piggs of the Dark Age
SNS-A4RE-USA;Power Rangers Zeo - Battle Racers
SNS-APUE-USA;Prehistorik Man
SNS-AR9E-USA;Primal Rage
SNS-PR-USA;Prince of Persia
SNS-AUPE-USA;Prince of Persia 2 - The Shadow and the Flame
SNS-QB-USA;Pro Quarterback
SNS-UI-USA;Pro Sport Hockey
SNS-PV-USA;Push-Over
SNS-Q3-USA;Q-bert 3
SNS-ER-USA;R-Type III - The Third Lightning
SNS-RV-USA;Race Drivin'
SNS-RP-USA;Radical Psycho Machine Racing
SNS-ARRE-USA;Radical Rex
SNS-RD-USA;Raiden Trad
SNS-RM-USA;Rampart
SNS-R2-USA;Ranma Half - Hard Battle
SNS-ARVE-USA;Rap Jam - Volume One
SNS-ARQE-USA;Realm
SNS-6R-USA;Red Line - F1 Racer
SNS-5R-USA;Relief Pitcher
SNS-ARBE-USA;Ren & Stimpy Show, The - Buckeroo$!
SNS-6Y-USA;Ren & Stimpy Show, The - Fire Dogs
SNS-ARTE-USA;Ren & Stimpy Show, The - Time Warp
SNS-V8-USA;Ren & Stimpy Show, The - Veediots!
SNS-AXRE-USA;Revolution X - Music is the Weapon
SNS-XR-USA;Rex Ronan - Experimental Surgeon
SNS-XG-USA;Riddick Bowe Boxing
SNS-QG-USA;Rise of the Phoenix
SNS-AROE-USA;Rise of the Robots
SNS-RB-USA;Rival Turf!
SNS-RR-USA;Road Riot 4WD
SNS-DV-USA;Road Runner's Death Valley Rally
SNS-R3-USA;RoboCop 3
SNS-VR-USA;RoboCop vs. The Terminator
SNS-E9-USA;Robotrek
SNS-RN-USA;Rock & Roll Racing
SNS-RK-USA;Rocketeer, The
SNS-8D-USA;Rocko's Modern Life - Spunky's Dangerous Day
SNS-NP-USA;Rocky Rodent
SNS-VP-USA;Roger Clemens' MVP Baseball
SNS-XL-USA;Romance of the Three Kingdoms II
SNS-S3-USA;Romance of the Three Kingdoms III - Dragon of Destiny
SNS-AS4E-USA;Romance of the Three Kingdoms IV - Wall of Fire
SNS-RU-USA;Run Saber
SNS-A7SE-USA;Samurai Shodown
SNS-ZW-USA;Saturday Night Slam Masters
SNS-AXDE-USA;Scooby-Doo Mystery
SNS-ASQE-USA;SeaQuest DSV
SNS-AEOE-USA;Secret of Evermore
SNS-K2-USA;Secret of Mana
SNS-WR-USA;Shadowrun
SNS-DE-USA;Shanghai II - Dragon's Eye
SNS-AQFE-USA;Shaq-Fu
SNS-OO-USA;Shien's Revenge
SNS-EQ-USA;Sid Meier's Civilization
SNS-4P-USA;Side Pocket
SNS-AN-USA;SimAnt - The Electronic Ant Colony
